Series Code,Topic,Indicator Name,
DT.INT.PROP.CD,Economic Policy & Debt: External debt: Interest,"PPG, other private creditors (INT, current US$)",
DT.INT.PRVT.CD,Economic Policy & Debt: External debt: Interest,"PPG, private creditors (INT, current US$)",
DT.IXA.DPPG.CD,"Economic Policy & Debt: External debt: Arrears, reschedulings, etc.","Interest arrears, long-term DOD (US$)",
DT.IXA.DPPG.CD.CG,"Economic Policy & Debt: External debt: Arrears, reschedulings, etc.",Net change in interest arrears (current US$),
DT.IXA.OFFT.CD,"Economic Policy & Debt: External debt: Arrears, reschedulings, etc.","Interest arrears, official creditors (current US$)",
DT.IXA.PRVT.CD,"Economic Policy & Debt: External debt: Arrears, reschedulings, etc.","Interest arrears, private creditors (current US$)",
DT.IXF.DPPG.CD,"Economic Policy & Debt: External debt: Arrears, reschedulings, etc.",Interest forgiven (current US$),
DT.IXR.DPPG.CD,"Economic Policy & Debt: External debt: Arrears, reschedulings, etc.",Interest rescheduled (capitalized) (current US$),
DT.IXR.OFFT.CD,"Economic Policy & Debt: External debt: Arrears, reschedulings, etc.","Interest rescheduled, official (current US$)",
DT.IXR.PRVT.CD,"Economic Policy & Debt: External debt: Arrears, reschedulings, etc.","Interest rescheduled, private (current US$)",
DT.MAT.DPPG,Economic Policy & Debt: External debt: Terms,Average maturity on new external debt commitments (years),
DT.MAT.OFFT,Economic Policy & Debt: External debt: Terms,"Average maturity on new external debt commitments, official (years)",
DT.MAT.PRVT,Economic Policy & Debt: External debt: Terms,"Average maturity on new external debt commitments, private (years)",
DT.NFL.BLAT.CD,Economic Policy & Debt: External debt: Net flows,"Net financial flows, bilateral (NFL, current US$)",
DT.NFL.BLTC.CD,Economic Policy & Debt: External debt: Net flows,"PPG, bilateral concessional (NFL, current US$)",
DT.NFL.BOND.CD,Economic Policy & Debt: External debt: Net flows,"Portfolio investment, bonds (PPG + PNG) (NFL, current US$)",
DT.NFL.DECT.CD,Economic Policy & Debt: External debt: Net flows,"Net flows on external debt, total (NFL, current US$)",
DT.NFL.DLXF.CD,Economic Policy & Debt: External debt: Net flows,"Net flows on external debt, long-term (NFL, current US$)",
DT.NFL.DPNG.CD,Economic Policy & Debt: External debt: Net flows,"Net flows on external debt, private nonguaranteed (PNG) (NFL, current US$)",
DT.NFL.DPPG.CD,Economic Policy & Debt: External debt: Net flows,"Net flows on external debt, public and publicly guaranteed (PPG) (NFL, current US$)",
DT.NFL.DSTC.CD,Economic Policy & Debt: External debt: Net flows,"Net flows on external debt, short-term (NFL, current US$)",
DT.NFL.IAEA.CD,Economic Policy & Debt: Official development assistance,"Net official flows from UN agencies, IAEA (current US$)",
DT.NFL.IFAD.CD,Economic Policy & Debt: Official development assistance,"Net official flows from UN agencies, IFAD (current US$)",
DT.NFL.IMFC.CD,Economic Policy & Debt: External debt: Net flows,"Net financial flows, IMF concessional (NFL, current US$)",
DT.NFL.IMFN.CD,Economic Policy & Debt: External debt: Net flows,"Net financial flows, IMF nonconcessional (NFL, current US$)",
DT.NFL.MIBR.CD,Economic Policy & Debt: External debt: Net flows,"Net financial flows, IBRD (NFL, current US$)",
DT.NFL.MIDA.CD,Economic Policy & Debt: External debt: Net flows,"Net financial flows, IDA (NFL, current US$)",
DT.NFL.MLAT.CD,Economic Policy & Debt: External debt: Net flows,"Net financial flows, multilateral (NFL, current US$)",
DT.NFL.MLTC.CD,Economic Policy & Debt: External debt: Net flows,"PPG, multilateral concessional (NFL, current US$)",
DT.NFL.MOTH.CD,Economic Policy & Debt: External debt: Net flows,"Net financial flows, others (NFL, current US$)",
DT.NFL.NEBR.CD,Economic Policy & Debt: External debt: Net flows,"EBRD, private nonguaranteed (NFL, current US$)",
DT.NFL.NIFC.CD,Economic Policy & Debt: External debt: Net flows,"IFC, private nonguaranteed (NFL, current US$)",
DT.NFL.OFFT.CD,Economic Policy & Debt: External debt: Net flows,"PPG, official creditors (NFL, current US$)",
DT.NFL.PBND.CD,Economic Policy & Debt: External debt: Net flows,"PPG, bonds (NFL, current US$)",
DT.NFL.PCBK.CD,Economic Policy & Debt: External debt: Net flows,"PPG, commercial banks (NFL, current US$)",
DT.NFL.PCBO.CD,Economic Policy & Debt: External debt: Net flows,"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",
DT.NFL.PNGB.CD,Economic Policy & Debt: External debt: Net flows,"PNG, bonds (NFL, current US$)",
DT.NFL.PNGC.CD,Economic Policy & Debt: External debt: Net flows,"PNG, commercial banks and other creditors (NFL, current US$)",
DT.NFL.PROP.CD,Economic Policy & Debt: External debt: Net flows,"PPG, other private creditors (NFL, current US$)",
DT.NFL.PRVT.CD,Economic Policy & Debt: External debt: Net flows,"PPG, private creditors (NFL, current US$)",
DT.NFL.RDBC.CD,Economic Policy & Debt: External debt: Net flows,"Net financial flows, RDB concessional (NFL, current US$)",
DT.NFL.RDBN.CD,Economic Policy & Debt: External debt: Net flows,"Net financial flows, RDB nonconcessional (NFL, current US$)",
DT.NFL.UNAI.CD,Economic Policy & Debt: Official development assistance,"Net official flows from UN agencies, UNAIDS (current US$)",
DT.NFL.UNCF.CD,Economic Policy & Debt: Official development assistance,"Net official flows from UN agencies, UNICEF (current US$)",
DT.NFL.UNCR.CD,Economic Policy & Debt: Official development assistance,"Net official flows from UN agencies, UNHCR (current US$)",
DT.NFL.UNDP.CD,Economic Policy & Debt: Official development assistance,"Net official flows from UN agencies, UNDP (current US$)",
DT.NFL.UNEC.CD,Economic Policy & Debt: Official development assistance,"Net official flows from UN agencies, UNECE (current US$)",
DT.NFL.UNFP.CD,Economic Policy & Debt: Official development assistance,"Net official flows from UN agencies, UNFPA (current US$)",
DT.NFL.UNPB.CD,Economic Policy & Debt: Official development assistance,"Net official flows from UN agencies, UNPBF (current US$)",
DT.NFL.UNRW.CD,Economic Policy & Debt: Official development assistance,"Net official flows from UN agencies, UNRWA (current US$)",
DT.NFL.UNTA.CD,Economic Policy & Debt: Official development assistance,"Net official flows from UN agencies, UNTA (current US$)",
DT.NFL.WFPG.CD,Economic Policy & Debt: Official development assistance,"Net official flows from UN agencies, WFP (current US$)",
DT.NFL.WHOL.CD,Economic Policy & Debt: Official development assistance,"Net official flows from UN agencies, WHO (current US$)",
DT.NTR.BLAT.CD,Economic Policy & Debt: External debt: Net transfers,"PPG, bilateral (NTR, current US$)",
DT.NTR.BLTC.CD,Economic Policy & Debt: External debt: Net transfers,"PPG, bilateral concessional (NTR, current US$)",
DT.NTR.DECT.CD,Economic Policy & Debt: External debt: Net transfers,"Net transfers on external debt, total (NTR, current US$)",
DT.NTR.DLXF.CD,Economic Policy & Debt: External debt: Net transfers,"Net transfers on external debt, long-term (NTR, current US$)",
DT.NTR.DPNG.CD,Economic Policy & Debt: External debt: Net transfers,"Net transfers on external debt, private nonguaranteed (PNG) (NTR, current US$)",
DT.NTR.DPPG.CD,Economic Policy & Debt: External debt: Net transfers,"Net transfers on external debt, public and publicly guaranteed (PPG) (NTR, current US$)",
DT.NTR.MIBR.CD,Economic Policy & Debt: External debt: Net transfers,"PPG, IBRD (NTR, current US$)",
DT.NTR.MIDA.CD,Economic Policy & Debt: External debt: Net transfers,"PPG, IDA (NTR, current US$)",
DT.NTR.MLAT.CD,Economic Policy & Debt: External debt: Net transfers,"PPG, multilateral (NTR, current US$)",
DT.NTR.MLTC.CD,Economic Policy & Debt: External debt: Net transfers,"PPG, multilateral concessional (NTR, current US$)",
DT.NTR.OFFT.CD,Economic Policy & Debt: External debt: Net transfers,"PPG, official creditors (NTR, current US$)",
DT.NTR.PBND.CD,Economic Policy & Debt: External debt: Net transfers,"PPG, bonds (NTR, current US$)",
DT.NTR.PCBK.CD,Economic Policy & Debt: External debt: Net transfers,"PPG, commercial banks (NTR, current US$)",
DT.NTR.PNGB.CD,Economic Policy & Debt: External debt: Net transfers,"PNG, bonds (NTR, current US$)",
DT.NTR.PNGC.CD,Economic Policy & Debt: External debt: Net transfers,"PNG, commercial banks and other creditors (NTR, current US$)",
DT.NTR.PROP.CD,Economic Policy & Debt: External debt: Net transfers,"PPG, other private creditors (NTR, current US$)",
DT.NTR.PRVT.CD,Economic Policy & Debt: External debt: Net transfers,"PPG, private creditors (NTR, current US$)",
DT.ODA.ALLD.CD,Economic Policy & Debt: Official development assistance,Net official development assistance and official aid received (current US$),
DT.ODA.ALLD.KD,Economic Policy & Debt: Official development assistance,Net official development assistance and official aid received (constant 2013 US$),
DT.ODA.OATL.CD,Economic Policy & Debt: Official development assistance,Net official aid received (current US$),
DT.ODA.OATL.KD,Economic Policy & Debt: Official development assistance,Net official aid received (constant 2013 US$),
DT.ODA.ODAT.CD,Economic Policy & Debt: Official development assistance,Net official development assistance received (current US$),
DT.ODA.ODAT.GI.ZS,Economic Policy & Debt: Official development assistance,Net ODA received (% of gross capital formation),1
DT.ODA.ODAT.GN.ZS,Economic Policy & Debt: Official development assistance,Net ODA received (% of GNI),
DT.ODA.ODAT.KD,Economic Policy & Debt: Official development assistance,Net official development assistance received (constant 2013 US$),
DT.ODA.ODAT.MP.ZS,Economic Policy & Debt: Official development assistance,"Net ODA received (% of imports of goods, services and primary income)",
DT.ODA.ODAT.PC.ZS,Economic Policy & Debt: Official development assistance,Net ODA received per capita (current US$),
DT.ODA.ODAT.XP.ZS,Economic Policy & Debt: Official development assistance,Net ODA received (% of central government expense),
DT.TDS.BLAT.CD,Economic Policy & Debt: External debt: Debt service,"PPG, bilateral (TDS, current US$)",
DT.TDS.BLTC.CD,Economic Policy & Debt: External debt: Debt service,"PPG, bilateral concessional (TDS, current US$)",
DT.TDS.DECT.CD,Economic Policy & Debt: External debt: Debt service,"Debt service on external debt, total (TDS, current US$)",
DT.TDS.DECT.EX.ZS,Economic Policy & Debt: External debt: Debt ratios & other items,"Total debt service (% of exports of goods, services and primary income)",
DT.TDS.DECT.GN.ZS,Economic Policy & Debt: External debt: Debt ratios & other items,Total debt service (% of GNI),
DT.TDS.DIMF.CD,Economic Policy & Debt: External debt: Debt service,"IMF repurchases and charges (TDS, current US$)",
DT.TDS.DLXF.CD,Economic Policy & Debt: External debt: Debt service,"Debt service on external debt, long-term (TDS, current US$)",
DT.TDS.DPNG.CD,Economic Policy & Debt: External debt: Debt service,"Debt service on external debt, private nonguaranteed (PNG) (TDS, current US$)",
DT.TDS.DPPF.XP.ZS,Economic Policy & Debt: External debt: Debt ratios & other items,"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",
DT.TDS.DPPG.CD,Economic Policy & Debt: External debt: Debt service,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",
DT.TDS.DPPG.GN.ZS,Economic Policy & Debt: External debt: Debt ratios & other items,Public and publicly guaranteed debt service (% of GNI),
DT.TDS.DPPG.XP.ZS,Economic Policy & Debt: External debt: Debt ratios & other items,"Public and publicly guaranteed debt service (% of exports of goods, services and primary income)",
DT.TDS.MIBR.CD,Economic Policy & Debt: External debt: Debt service,"PPG, IBRD (TDS, current US$)",
DT.TDS.MIDA.CD,Economic Policy & Debt: External debt: Debt service,"PPG, IDA (TDS, current US$)",
DT.TDS.MLAT.CD,Economic Policy & Debt: External debt: Debt service,"Multilateral debt service (TDS, current US$)",
DT.TDS.MLAT.PG.ZS,Economic Policy & Debt: External debt: Debt ratios & other items,Multilateral debt service (% of public and publicly guaranteed debt service),
DT.TDS.MLTC.CD,Economic Policy & Debt: External debt: Debt service,"PPG, multilateral concessional (TDS, current US$)",
DT.TDS.OFFT.CD,Economic Policy & Debt: External debt: Debt service,"PPG, official creditors (TDS, current US$)",
DT.TDS.PBND.CD,Economic Policy & Debt: External debt: Debt service,"PPG, bonds (TDS, current US$)",
DT.TDS.PCBK.CD,Economic Policy & Debt: External debt: Debt service,"PPG, commercial banks (TDS, current US$)",
DT.TDS.PNGB.CD,Economic Policy & Debt: External debt: Debt service,"PNG, bonds (TDS, current US$)",
DT.TDS.PNGC.CD,Economic Policy & Debt: External debt: Debt service,"PNG, commercial banks and other creditors (TDS, current US$)",
DT.TDS.PROP.CD,Economic Policy & Debt: External debt: Debt service,"PPG, other private creditors (TDS, current US$)",
DT.TDS.PRVT.CD,Economic Policy & Debt: External debt: Debt service,"PPG, private creditors (TDS, current US$)",
DT.TXR.DPPG.CD,"Economic Policy & Debt: External debt: Arrears, reschedulings, etc.",Total amount of debt rescheduled (current US$),
DT.UND.DPPG.CD,Economic Policy & Debt: External debt: Undisbursed debt,"Undisbursed external debt, total (UND, current US$)",
DT.UND.OFFT.CD,Economic Policy & Debt: External debt: Undisbursed debt,"Undisbursed external debt, official creditors (UND, current US$)",
DT.UND.PRVT.CD,Economic Policy & Debt: External debt: Undisbursed debt,"Undisbursed external debt, private creditors (UND, current US$)",
EA.PRD.AGRI.KD,Environment: Agricultural production,Agriculture value added per worker (constant 2010 US$),
EG.EGY.PRIM.PP.KD,Environment: Energy production & use,Energy intensity level of primary energy (MJ/$2011 PPP GDP),
EG.ELC.ACCS.RU.ZS,Environment: Energy production & use,"Access to electricity, rural (% of rural population)",
EG.ELC.ACCS.UR.ZS,Environment: Energy production & use,"Access to electricity, urban (% of urban population)",
EG.ELC.ACCS.ZS,Environment: Energy production & use,Access to electricity (% of population),1
EG.ELC.COAL.ZS,Environment: Energy production & use,Electricity production from coal sources (% of total),
EG.ELC.FOSL.ZS,Environment: Energy production & use,"Electricity production from oil, gas and coal sources (% of total)",1
EG.ELC.HYRO.ZS,Environment: Energy production & use,Electricity production from hydroelectric sources (% of total),1
EG.ELC.LOSS.ZS,Environment: Energy production & use,Electric power transmission and distribution losses (% of output),
EG.ELC.NGAS.ZS,Environment: Energy production & use,Electricity production from natural gas sources (% of total),
EG.ELC.NUCL.ZS,Environment: Energy production & use,Electricity production from nuclear sources (% of total),
EG.ELC.PETR.ZS,Environment: Energy production & use,Electricity production from oil sources (% of total),
EG.ELC.RNEW.ZS,Environment: Energy production & use,Renewable electricity output (% of total electricity output),1
EG.ELC.RNWX.KH,Environment: Energy production & use,"Electricity production from renewable sources, excluding hydroelectric (kWh)",
EG.ELC.RNWX.ZS,Environment: Energy production & use,"Electricity production from renewable sources, excluding hydroelectric (% of total)",
EG.FEC.RNEW.ZS,Environment: Energy production & use,Renewable energy consumption (% of total final energy consumption),
EG.GDP.PUSE.KO.PP,Environment: Energy production & use,GDP per unit of energy use (PPP $ per kg of oil equivalent),
EG.GDP.PUSE.KO.PP.KD,Environment: Energy production & use,GDP per unit of energy use (constant 2011 PPP $ per kg of oil equivalent),
EG.IMP.CONS.ZS,Environment: Energy production & use,"Energy imports, net (% of energy use)",1
EG.NSF.ACCS.RU.ZS,Environment: Energy production & use,"Access to non-solid fuel, rural (% of rural population)",
EG.NSF.ACCS.UR.ZS,Environment: Energy production & use,"Access to non-solid fuel, urban (% of urban population)",
EG.NSF.ACCS.ZS,Environment: Energy production & use,Access to non-solid fuel (% of population),
EG.USE.COMM.CL.ZS,Environment: Energy production & use,Alternative and nuclear energy (% of total energy use),
EG.USE.COMM.FO.ZS,Environment: Energy production & use,Fossil fuel energy consumption (% of total),
EG.USE.COMM.GD.PP.KD,Environment: Energy production & use,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP)",
EG.USE.CRNW.ZS,Environment: Energy production & use,Combustible renewables and waste (% of total energy),
EG.USE.ELEC.KH.PC,Environment: Energy production & use,Electric power consumption (kWh per capita),
EG.USE.PCAP.KG.OE,Environment: Energy production & use,Energy use (kg of oil equivalent per capita),
EN.ATM.CO2E.EG.ZS,Environment: Emissions,CO2 intensity (kg per kg of oil equivalent energy use),
EN.ATM.CO2E.GF.KT,Environment: Emissions,CO2 emissions from gaseous fuel consumption (kt),
EN.ATM.CO2E.GF.ZS,Environment: Emissions,CO2 emissions from gaseous fuel consumption (% of total),
EN.ATM.CO2E.KD.GD,Environment: Emissions,CO2 emissions (kg per 2010 US$ of GDP),
EN.ATM.CO2E.KT,Environment: Emissions,CO2 emissions (kt),
EN.ATM.CO2E.LF.KT,Environment: Emissions,CO2 emissions from liquid fuel consumption (kt),
EN.ATM.CO2E.LF.ZS,Environment: Emissions,CO2 emissions from liquid fuel consumption (% of total),
EN.ATM.CO2E.PC,Environment: Emissions,CO2 emissions (metric tons per capita),
EN.ATM.CO2E.PP.GD,Environment: Emissions,CO2 emissions (kg per PPP $ of GDP),
EN.ATM.CO2E.PP.GD.KD,Environment: Emissions,CO2 emissions (kg per 2011 PPP $ of GDP),
EN.ATM.CO2E.SF.KT,Environment: Emissions,CO2 emissions from solid fuel consumption (kt),
EN.ATM.CO2E.SF.ZS,Environment: Emissions,CO2 emissions from solid fuel consumption (% of total),
EN.ATM.GHGO.KT.CE,Environment: Emissions,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",
EN.ATM.GHGO.ZG,Environment: Emissions,Other greenhouse gas emissions (% change from 1990),1
EN.ATM.GHGT.KT.CE,Environment: Emissions,Total greenhouse gas emissions (kt of CO2 equivalent),
EN.ATM.GHGT.ZG,Environment: Emissions,Total greenhouse gas emissions (% change from 1990),
EN.ATM.HFCG.KT.CE,Environment: Emissions,HFC gas emissions (thousand metric tons of CO2 equivalent),
EN.ATM.METH.AG.KT.CE,Environment: Emissions,Agricultural methane emissions (thousand metric tons of CO2 equivalent),
EN.ATM.METH.AG.ZS,Environment: Emissions,Agricultural methane emissions (% of total),
EN.ATM.METH.EG.KT.CE,Environment: Emissions,Methane emissions in energy sector (thousand metric tons of CO2 equivalent),
EN.ATM.METH.EG.ZS,Environment: Emissions,Energy related methane emissions (% of total),
EN.ATM.METH.KT.CE,Environment: Emissions,Methane emissions (kt of CO2 equivalent),
EN.ATM.METH.ZG,Environment: Emissions,Methane emissions (% change from 1990),
EN.ATM.NOXE.AG.KT.CE,Environment: Emissions,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),
EN.ATM.NOXE.AG.ZS,Environment: Emissions,Agricultural nitrous oxide emissions (% of total),
EN.ATM.NOXE.EG.KT.CE,Environment: Emissions,Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),
EN.ATM.NOXE.EG.ZS,Environment: Emissions,Nitrous oxide emissions in energy sector (% of total),
EN.ATM.NOXE.KT.CE,Environment: Emissions,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),
EN.ATM.NOXE.ZG,Environment: Emissions,Nitrous oxide emissions (% change from 1990),
EN.ATM.PFCG.KT.CE,Environment: Emissions,PFC gas emissions (thousand metric tons of CO2 equivalent),
EN.ATM.PM25.MC.M3,Environment: Emissions,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",
EN.ATM.PM25.MC.ZS,Environment: Emissions,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",
EN.ATM.SF6G.KT.CE,Environment: Emissions,SF6 gas emissions (thousand metric tons of CO2 equivalent),
EN.BIR.THRD.NO,Environment: Biodiversity & protected areas,"Bird species, threatened",
EN.CLC.DRSK.XQ,Environment: Land use,Disaster risk reduction progress score (1-5 scale; 5=best),
EN.CLC.GHGR.MT.CE,Environment: Emissions,GHG net emissions/removals by LUCF (Mt of CO2 equivalent),
EN.CLC.MDAT.ZS,Environment: Land use,"Droughts, floods, extreme temperatures (% of population, average 1990-2009)",
EN.CO2.BLDG.ZS,Environment: Emissions,CO2 emissions from residential buildings and commercial and public services (% of total fuel combustion),
EN.CO2.ETOT.ZS,Environment: Emissions,"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",
EN.CO2.MANF.ZS,Environment: Emissions,CO2 emissions from manufacturing industries and construction (% of total fuel combustion),
EN.CO2.OTHX.ZS,Environment: Emissions,"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)",
EN.CO2.TRAN.ZS,Environment: Emissions,CO2 emissions from transport (% of total fuel combustion),
EN.FSH.THRD.NO,Environment: Biodiversity & protected areas,"Fish species, threatened",
EN.HPT.THRD.NO,Environment: Biodiversity & protected areas,"Plant species (higher), threatened",
EN.MAM.THRD.NO,Environment: Biodiversity & protected areas,"Mammal species, threatened",
EN.POP.DNST,Environment: Density & urbanization,Population density (people per sq. km of land area),1
EN.POP.EL5M.RU.ZS,Environment: Land use,Rural population living in areas where elevation is below 5 meters (% of total population),
EN.POP.EL5M.UR.ZS,Environment: Land use,Urban population living in areas where elevation is below 5 meters (% of total population),
EN.POP.EL5M.ZS,Environment: Land use,Population living in areas where elevation is below 5 meters (% of total population),
EN.POP.SLUM.UR.ZS,Environment: Density & urbanization,Population living in slums (% of urban population),
EN.URB.LCTY,Environment: Density & urbanization,Population in largest city,
EN.URB.LCTY.UR.ZS,Environment: Density & urbanization,Population in the largest city (% of urban population),
EN.URB.MCTY,Environment: Density & urbanization,Population in urban agglomerations of more than 1 million,
EN.URB.MCTY.TL.ZS,Environment: Density & urbanization,Population in urban agglomerations of more than 1 million (% of total population),
EP.PMP.DESL.CD,Infrastructure: Transportation,Pump price for diesel fuel (US$ per liter),
EP.PMP.SGAS.CD,Infrastructure: Transportation,Pump price for gasoline (US$ per liter),
ER.BDV.TOTL.XQ,Environment: Biodiversity & protected areas,GEF benefits index for biodiversity (0 = no biodiversity potential to 100 = maximum),
ER.FSH.AQUA.MT,Environment: Agricultural production,Aquaculture production (metric tons),
ER.FSH.CAPT.MT,Environment: Agricultural production,Capture fisheries production (metric tons),
ER.FSH.PROD.MT,Environment: Agricultural production,Total fisheries production (metric tons),
ER.GDP.FWTL.M3.KD,Environment: Freshwater,"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)",
ER.H2O.FWAG.ZS,Environment: Freshwater,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",
ER.H2O.FWDM.ZS,Environment: Freshwater,"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",
ER.H2O.FWIN.ZS,Environment: Freshwater,"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",
ER.H2O.FWTL.K3,Environment: Freshwater,"Annual freshwater withdrawals, total (billion cubic meters)",
ER.H2O.FWTL.ZS,Environment: Freshwater,"Annual freshwater withdrawals, total (% of internal resources)",1
ER.H2O.INTR.K3,Environment: Freshwater,"Renewable internal freshwater resources, total (billion cubic meters)",
ER.H2O.INTR.PC,Environment: Freshwater,Renewable internal freshwater resources per capita (cubic meters),
ER.LND.PTLD.ZS,Environment: Biodiversity & protected areas,Terrestrial protected areas (% of total land area),
ER.MRN.PTMR.ZS,Environment: Biodiversity & protected areas,Marine protected areas (% of territorial waters),
ER.PTD.TOTL.ZS,Environment: Biodiversity & protected areas,Terrestrial and marine protected areas (% of total territorial area),
FB.AST.NPER.ZS,Financial Sector: Assets,Bank nonperforming loans to total gross loans (%),
FB.ATM.TOTL.P5,Financial Sector: Access,"Automated teller machines (ATMs) (per 100,000 adults)",1
FB.BNK.CAPA.ZS,Financial Sector: Assets,Bank capital to assets ratio (%),
FB.CBK.BRCH.P5,Financial Sector: Access,"Commercial bank branches (per 100,000 adults)",
FB.CBK.BRWR.P3,Financial Sector: Access,"Borrowers from commercial banks (per 1,000 adults)",1
FB.CBK.DPTR.P3,Financial Sector: Access,"Depositors with commercial banks (per 1,000 adults)",1
FB.POS.TOTL.P5,Financial Sector: Access,"Point-of-sale terminals (per 100,000 adults)",
FD.AST.PRVT.GD.ZS,Financial Sector: Assets,Domestic credit to private sector by banks (% of GDP),
FD.RES.LIQU.AS.ZS,Financial Sector: Monetary holdings (liabilities),Bank liquid reserves to bank assets ratio (%),
FI.RES.TOTL.CD,Economic Policy & Debt: Balance of payments: Reserves & other items,"Total reserves (includes gold, current US$)",
FI.RES.TOTL.DT.ZS,Economic Policy & Debt: Balance of payments: Reserves & other items,Total reserves (% of total external debt),
FI.RES.TOTL.MO,Economic Policy & Debt: Balance of payments: Reserves & other items,Total reserves in months of imports,
FI.RES.XGLD.CD,Economic Policy & Debt: Balance of payments: Reserves & other items,Total reserves minus gold (current US$),
FM.AST.CGOV.ZG.M3,Financial Sector: Assets,Claims on central government (annual growth as % of broad money),
FM.AST.DOMO.ZG.M3,Financial Sector: Assets,Claims on other sectors of the domestic economy (annual growth as % of broad money),
FM.AST.DOMS.CN,Financial Sector: Assets,Net domestic credit (current LCU),
FM.AST.NFRG.CN,Financial Sector: Assets,Net foreign assets (current LCU),
FM.AST.PRVT.ZG.M3,Financial Sector: Assets,Claims on private sector (annual growth as % of broad money),
FM.LBL.BMNY.CN,Financial Sector: Monetary holdings (liabilities),Broad money (current LCU),
FM.LBL.BMNY.GD.ZS,Financial Sector: Monetary holdings (liabilities),Broad money (% of GDP),
FM.LBL.BMNY.IR.ZS,Financial Sector: Monetary holdings (liabilities),Broad money to total reserves ratio,
FM.LBL.BMNY.ZG,Financial Sector: Monetary holdings (liabilities),Broad money growth (annual %),
FP.CPI.TOTL,Financial Sector: Exchange rates & prices,Consumer price index (2010 = 100),
FP.CPI.TOTL.ZG,Financial Sector: Exchange rates & prices,"Inflation, consumer prices (annual %)",
FP.WPI.TOTL,Financial Sector: Exchange rates & prices,Wholesale price index (2010 = 100),
FR.INR.DPST,Financial Sector: Interest rates,Deposit interest rate (%),
FR.INR.LEND,Financial Sector: Interest rates,Lending interest rate (%),
FR.INR.LNDP,Financial Sector: Interest rates,"Interest rate spread (lending rate minus deposit rate, %)",
FR.INR.RINR,Financial Sector: Interest rates,Real interest rate (%),
FR.INR.RISK,Financial Sector: Interest rates,"Risk premium on lending (lending rate minus treasury bill rate, %)",
FS.AST.CGOV.GD.ZS,Financial Sector: Assets,"Claims on central government, etc. (% GDP)",
FS.AST.DOMO.GD.ZS,Financial Sector: Assets,Claims on other sectors of the domestic economy (% of GDP),
FS.AST.DOMS.GD.ZS,Financial Sector: Assets,Domestic credit provided by financial sector (% of GDP),
FS.AST.PRVT.GD.ZS,Financial Sector: Assets,Domestic credit to private sector (% of GDP),
GB.XPD.RSDV.GD.ZS,Infrastructure: Technology,Research and development expenditure (% of GDP),
GC.BAL.CASH.CN,Public Sector: Government finance: Deficit & financing,Cash surplus/deficit (current LCU),
GC.BAL.CASH.GD.ZS,Public Sector: Government finance: Deficit & financing,Cash surplus/deficit (% of GDP),
GC.DOD.TOTL.CN,Public Sector: Government finance: Deficit & financing,"Central government debt, total (current LCU)",
GC.DOD.TOTL.GD.ZS,Public Sector: Government finance: Deficit & financing,"Central government debt, total (% of GDP)",
GC.FIN.DOMS.CN,Public Sector: Government finance: Deficit & financing,"Net incurrence of liabilities, domestic (current LCU)",
GC.FIN.DOMS.GD.ZS,Public Sector: Government finance: Deficit & financing,"Net incurrence of liabilities, domestic (% of GDP)",
GC.FIN.FRGN.CN,Public Sector: Government finance: Deficit & financing,"Net incurrence of liabilities, foreign (current LCU)",
GC.FIN.FRGN.GD.ZS,Public Sector: Government finance: Deficit & financing,"Net incurrence of liabilities, foreign (% of GDP)",1
GC.REV.GOTR.CN,Public Sector: Government finance: Revenue,Grants and other revenue (current LCU),
GC.REV.GOTR.ZS,Public Sector: Government finance: Revenue,Grants and other revenue (% of revenue),
GC.REV.SOCL.CN,Public Sector: Government finance: Revenue,Social contributions (current LCU),
GC.REV.SOCL.ZS,Public Sector: Government finance: Revenue,Social contributions (% of revenue),1
GC.REV.XGRT.CN,Public Sector: Government finance: Revenue,"Revenue, excluding grants (current LCU)",
GC.REV.XGRT.GD.ZS,Public Sector: Government finance: Revenue,"Revenue, excluding grants (% of GDP)",
GC.TAX.EXPT.CN,Public Sector: Government finance: Revenue,Taxes on exports (current LCU),
GC.TAX.EXPT.ZS,Public Sector: Government finance: Revenue,Taxes on exports (% of tax revenue),1
GC.TAX.GSRV.CN,Public Sector: Government finance: Revenue,Taxes on goods and services (current LCU),
GC.TAX.GSRV.RV.ZS,Public Sector: Government finance: Revenue,Taxes on goods and services (% of revenue),1
